ticker,date,total_volume,call_volume,put_volume,open_interest,vol_oi_ratio,put_call_ratio,top_call_strike,top_call_strike_volume,top_call_expiry,top_put_strike,top_put_strike_volume,top_put_expiry,stock_price,avg_volume_20d,volume_ratio_vs_avg,score,group
CBRE,2026-09-23,4245,663,3582,6337,0.67,5.4,130.0,242,2026-10-16,135.0,3417.0,2026-10-16,136.13999938964844,1477.142857142857,2.87,4.975,large_cap
AMP,2026-09-23,2459,2321,138,3664,0.67,0.06,420.0,1120,2026-11-20,480.0,20.0,2026-11-20,510.25,864.1428571428571,2.85,4.945,large_cap
AMZN,2026-09-23,439480,264375,175105,293252,1.5,0.66,250.0,40517,2026-09-23,250.0,40988.0,2026-09-23,247.86000061035156,286212.78571428574,1.54,3.81,large_cap
ABNB,2026-09-23,6671,1656,5015,9547,0.7,3.03,155.0,300,2026-09-25,150.0,2971.0,2026-09-25,151.9199981689453,3301.5,2.02,3.7300000000000004,large_cap
AXP,2026-09-23,11856,10636,1220,21076,0.56,0.11,317.5,2574,2026-09-25,305.0,111.0,2026-09-25,303.2049865722656,5875.428571428572,2.02,3.5900000000000003,large_cap
BWMN,2026-09-23,4611,4057,554,514,8.97,0.14,50.0,3000,2027-01-15,30.0,208.0,2027-01-15,42.54999923706055,986.2142857142857,4.68,15.99,small_cap
CTMX,2026-09-23,8643,232,8411,11006,0.79,36.25,2.0,74,2026-11-20,4.0,4200.0,2026-10-16,2.7149999141693115,366.42857142857144,23.59,15.79,small_cap
CCCC,2026-09-23,1989,119,1870,2743,0.73,15.71,3.0,50,2026-10-16,3.0,1849.0,2026-10-16,2.934799909591675,267.0,7.45,11.905000000000001,small_cap
CBAN,2026-09-23,436,435,1,46,9.48,0.0,2.5,332,2027-01-15,17.5,1.0,2026-10-16,20.70170021057129,436.0,1.0,10.98,small_cap
BFH,2026-09-23,1950,99,1851,2498,0.78,18.7,57.5,30,2026-11-20,80.0,1000.0,2026-11-20,101.15499877929688,783.8571428571429,2.49,4.515000000000001,small_cap
